department_id,department_name_kor,department_name_eng,department_type,location,phone,fax,email,homepage_url,detail_url,description,core_fields,research_centers,source_url,crawled_at
DEPT_15F9EAC6D592,IT융합공학과,Convergence IT Engineering,department,C⁵,UG: 054-279-8888,054-279-8899,cite-staff@postech.ac.kr,https://cite.postech.ac.kr/,https://www.postech.ac.kr/kor/research-industry-academia/researcher-search.do?mode=view&id=2eea86d1ead30fedc7b6912921bdf1b0,"창의적 상상력, 융합적 탐구, 혁신적 창조를 통해 세계 최고 수준의 인재로 거듭나는 곳 IT융합공학과는 교육 혁신을 통해 새로운 교육 비전을 탐색하면서 무한한 가능성을 가진 인재들에게 동기를 부여합니다. 새로우면서도 폭넓은 사고를 가질 수 있는 교육 과정을 제공합니다. 창의적 상상력, 융합적 탐구, 혁신적 창조를 기반으로 자기 주도적이고 도전적인 문제해결 역량을 갖춘 세계 최고 수준의 인재육성을 목표로 하고 있습니다.",,,https://www.postech.ac.kr/kor/education/department.do,2026-07-18T12:39:10+09:00
DEPT_D8AE1063CB93,경영과학전공,Major in Management Science,program,"C5, 712호","054-279-8433, 8435",054-279-8289,helenkim@postech.ac.kr,https://msi.postech.ac.kr,https://www.postech.ac.kr/kor/research-industry-academia/researcher-search.do?mode=view&id=f037b4e02b5c35c9f16c8d2732c074b4,"경영과학전공(Major in Management Science)은 경영과 과학기술의 접점에서 과학적 의사결정 역량을 갖춘 경영자를 양성하고, 국내외 재직자가 시간과 공간의 제약 없이 학업과 업무를 병행할 수 있도록 설계되었습니다.",,,https://www.postech.ac.kr/kor/education/department.do,2026-07-18T12:39:10+09:00
DEPT_0EA86739E68C,국방과학기술전공,Major in Defense Science and Technology,program,"C5, 712호",054-279-8416,054-279-8289,ravivoid@postech.ac.kr,https://dst.postech.ac.kr/,https://www.postech.ac.kr/kor/research-industry-academia/researcher-search.do?mode=view&id=820d6eb33837425aab1270d236524366,"4차 산업혁명 시대 국방 혁신을 선도 국방과학기술대학원은 첨단과학기술 기반의 4차 산업혁명 아래, 군사훈련과 무기, 전투전략은 크게 변화에 발맞추고 국방혁신 4.0을 선도하기 위한 우수한 인력을 양성하고자 개설됐습니다. 이 전공은 육군‧공군‧해군과 방산업체 등에서 추천을 받은 간부(군무원 포함)를 대상으로 IT트랙(전자전기공학과, IT융합공학과)과 기계‧재료트랙(기계공학과, 친환소재대학원) 등의 트랙으로 구성돼 있습니다.",,,https://www.postech.ac.kr/kor/education/department.do,2026-07-18T12:39:10+09:00
DEPT_D4706A86BD1E,기계공학과,Mechanical Engineering,department,제5공학관/기계실험동,054-279-2832,054-279-5899,postech-me@postech.ac.kr,https://me.postech.ac.kr/,https://www.postech.ac.kr/kor/research-industry-academia/researcher-search.do?mode=view&id=2bc8e818f9dc40322c04e121f5affad5,"우수연구센터 첨단유체공학연구센터를 비롯해 10개의 국가지정 연구실 유치에 빛나는 독보적인 학문 경쟁력 기계공학은 에너지 발생 및 변환장치, 고성능 로봇, 자동차 항공기 선박 등 고효율 수송수단, 우주 및 해양기술, 인공장기를 포함한 의공학기술, 환경정화 등 인류 생활에 기여하는 영역이 광범위합니다. 기계공학과는 한국과학재단으로부터 우수연구센터로 지정된 첨단유체공학연구센터와 대학부설연구소인 지능로봇연구센터, 풍력에너지연구소, 초소형기계기술연구소, 자동차기전연구소, 국방 MEMS 특화연구센터 등을 설립하여 운영하고 있으며, 이 외에도 10개의 국가지정 연구실을 유치, 운영하고 있습니다. 특히 국가지정연구실 유치는 교수 수 대비 47.6%의 놀라운 유치율을 보이고 있어 국내 어느 대학과도 비교할 수 없는 훌륭한 교수진의 연구성과를 반영하고 있습니다.",,,https://www.postech.ac.kr/kor/education/department.do,2026-07-18T12:39:10+09:00
DEPT_6397BFCF9BBE,물리학과,Physics,department,제3공학관,054-279-2713,054-279-3099,shinjua@postech.ac.kr,https://ph.postech.ac.kr/,https://www.postech.ac.kr/kor/research-industry-academia/researcher-search.do?mode=view&id=484ada407cce53c151266995cec8e43b,"양자정보, 나노기술, 생명과학 등 세계 물리학 연구를 선도하는 인재들의 집합소 물리학은 우주와 자연에 나타나는 다양한 현상의 근본 원리를 탐구하는 기초과학입니다. 물리 지식은 ""우주는 어떻게 시작되었는가?"", ""물질과 에너지는 어떻게 상호작용하는가?"", ""양자 컴퓨터는 무엇을 계산할 수 있나?""와 같은 근본적인 질문에 답할 단서를 제공합니다. 더 나아가 물리학은 양자정보, 나노기술, 생명과학 등 다양한 최신 과학 공학의 연구에 기초를 제공하는 중요한 학문입니다. 물리학과는 자연의 근본 원리를 체계적으로 탐구·규명해 학문적 발전을 이루고 혁신적인 기술 개발을 선도해 인류 사회에 기여하는 것을 목표로 합니다. 이를 위해 학생들에게 이론과 실험을 아우르는 체계적인 교육을 제공하고 세계 물리학 연구를 선도하는 중추적 인재를 양성하기 위해 최선을 다하고 있습니다.",,,https://www.postech.ac.kr/kor/education/department.do,2026-07-18T12:39:10+09:00
DEPT_E832BE14535C,반도체공학과,Semiconductor Engineering,department,제2공학관,"054-279-8202~3, 054",054-279-8204,se-staff@postech.ac.kr,https://semi.postech.ac.kr/,https://www.postech.ac.kr/kor/research-industry-academia/researcher-search.do?mode=view&id=953898cd997f22be7dced291ed7c848e,"우리나라 반도체산업을 지키는 최고의 공학 인재를 위한 곳 반도체공학과는 날이 갈수록 치열해지는 미래 반도체 기술 개발 경쟁에서 우리나라의 반도체산업을 지켜낼 글로벌 리더를 육성하기 위해 설립됐습니다. 재료, 소자, 공정, 설계를 포함한 반도체 전 분야의 기초 및 응용지식을 바탕으로 최고의 공학 인재를 양성하며 특히 학사 및 석박사통합 과정을 6년 만에 마치는 집중교육 프로그램은 반도체의 내일을 이끌어갈 글로벌 리더가 되는데 큰 도움이 될 것입니다.",,,https://www.postech.ac.kr/kor/education/department.do,2026-07-18T12:39:10+09:00
DEPT_13FD4CA3DB40,반도체대학원,Graduate School of Semiconductor Technology,graduate_school,LG연구동,054-279-8912~5,054-279-8919,gsst-staff@postech.ac.kr,https://gradsemi.postech.ac.kr/,https://www.postech.ac.kr/kor/research-industry-academia/researcher-search.do?mode=view&id=a03cbb75ef2410c17ff3bbee7cb0a455,"국가 반도체 산업의 미래 기술 혁신을 선도하는 곳 반도체대학원은 국가 핵심 산업인 반도체 분야의 지속적인 성장을 이끌 석·박사급 리더 인재 양성 및 교육 시스템을 만들고자 합니다. 전자전기, 신소재, 반도체공학과 등과의 협력으로 반도체 분야에 특화된 교육 시스템이 있고, 현장 맞춤형 교육과 최첨단 연구 환경에서 연구할 수 있습니다. 이를 통해 학생들은 반도체 산업에서 필수적인 실무 경험을 쌓고, 체계적이고 심도 있는 교과과정을 통해 지식을 강화할 수 있습니다. 또한, 다양한 산학 협력 기회와 인턴십 활동을 통해 산업 문제 해결에 능하고 학문적 수월성을 갖추고 실무 경험이 풍부한 현장형 인재, 그리고 통합적 문제 해결 능력을 지닌 리더형 인재로 성장할 수 있습니다. 포스텍 반도체대학원은 국가 반도체 산업의 글로벌 경쟁력을 제고하고 미래 기술 혁신을 선도할 것입니다.",,,https://www.postech.ac.kr/kor/education/department.do,2026-07-18T12:39:10+09:00
DEPT_9174BD414A1A,산업경영공학과,Industrial & Management Engineering,department,제4공학관,054-279-2717,054-279-2870,ranny@postech.ac.kr,https://ime.postech.ac.kr/,https://www.postech.ac.kr/kor/research-industry-academia/researcher-search.do?mode=view&id=3c97d90740df38121b37c4fb53a24966,"전통적 산업공학의 기반 위에 경영을 더해 시스템 통합 및 최적화, 패러다임의 변화를 이끌다 현대사회에서 그 중요성이 점차 커지고 있는 산업경영공학은 시스템 통합과 최적화를 통한 생산성 향상 및 삶의 질 향상을 우선으로 하는 산업 환경 조성을 위한 미래지향적 학문입니다. 운영관리, 운용과학, 정보시스템, 경험 및 인간공학, 금융공학, 융합 및 신기술분야, 기업가정신을 포함해, 전 산업에서 요구되는 시대적 패러다임의 변화를 주도적으로 이끌어가고 해법을 제시하고 있습니다. 특히 4차 산업혁명의 시대에 새롭게 발생되는 디자인, 의사결정, 체계적 운용 등 수많은 활동이 산업경영공학의 몫이 되고 있습니다. 데이터와 프로세스 등이 보다 객관적이고 투명해짐에 따라 산업경영공학의 주요 이론과 도구들이 제 기능을 다하게 될 것이며, 산업경영공학이 추구하는 시스템 통합 역시 진정한 의미를 찾게 될 것으로 기대하고 있습니다. 최근에는 기술의 발전과 글로벌화, 제품 수명주기의 단축, 제품과 서비스의 결합 등 환경 변화로 인해 산업공학의 역할도 변화하고 있습니다. 산업경영공학과에서는 전통적인 산업공학의 기반 위에 경영 분야의 프로그램을 제공하며, 조직의 효과적인 최적화와 지속적 개선을 이룰 수 있게 하는 지식기반과 기술을 제공함을 목표로 합니다. 이를 위해 Business Analytics, Smart Service Systems, Systemic Risk Management 연구그룹으로 나누어 상호 유기적으로 조화롭게 연구를 진행하고 있습니다.",,,https://www.postech.ac.kr/kor/education/department.do,2026-07-18T12:39:10+09:00
DEPT_62D0B669C458,산업데이터사이언스전공,Major in Industrial Data Science,program,"무은재기념관, 208-1호",054-279-9153~4,054-279-8289,didwl419@postech.ac.kr,https://ids.postech.ac.kr/,https://www.postech.ac.kr/kor/research-industry-academia/researcher-search.do?mode=view&id=f2a741fd83330dbc29aa523b7f0eeabd,세계 유수 대학과의 파트너십 산업적 가치 창출 포스텍 융합대학원의 산업데이터사이언스 전공은 산업적 가치 창출을 선도할 고급 인재 양성이 목표입니다. 수요자 중심의 데이터사이언스 교육 환경과 세계 최고의 해외 유수 대학들과의 파트너십으로 데이터기반의 창의적 사고를 배양할 체계적 커리큘럼으로 다양한 산업에서 데이터 중심의 경영 의사결정을 선도할 글로벌리더로 성장할 것입니다.,,,https://www.postech.ac.kr/kor/education/department.do,2026-07-18T12:39:10+09:00
DEPT_72FA8A502789,생명과학과,Life Sciences,department,"바이오오픈이노베이션센터(BOIC),",054-279-2721,054-279-2199,dept-LIFE@postech.ac.kr,https://life.postech.ac.kr/,https://www.postech.ac.kr/kor/research-industry-academia/researcher-search.do?mode=view&id=33b3a5898d5ed71e56d62df9fd6e956a,"유수 프로젝트의 지원, 국내 최고 수준의 연구팀이 모인 혁신의 용광로 생명과학과는 세계적 수준의 연구와 차별화된 교육을 통해 생명과학 분야에서 독보적인 경쟁력을 자랑합니다. 1989년 설립 이후, BK21 사업, 바이오미래기술혁신연구센터(B-IRC), 삼성미래기술육성사업 등 국내외 유수 프로젝트의 지원을 바탕으로 첨단 연구를 이끌며, 글로벌 리더를 배출하고 있습니다. 특히 소수정예 박사과정 중심의 맞춤형 교육을 통해 창의적이고 진취적인 연구 인재를 양성하며, 각 분야에서 독창적 접근으로 세계 학계를 선도합니다. 학부와 대학원 과정에서 학생들은 심층 이론과 첨단 실험을 통해 실질적 문제 해결 능력을 키우며 글로벌 리더로 성장할 수 있는 최적의 환경을 제공합니다.",,,https://www.postech.ac.kr/kor/education/department.do,2026-07-18T12:39:10+09:00
